sample,depth,year,season,niche
dz_2014_strat_0,0,2014,stratified,surface
dz_2014_strat_1,1,2014,stratified,surface
dz_2014_strat_2.5,2.5,2014,stratified,bottom
dz_2014_strat_5,5,2014,stratified,bottom
dz_2014_strat_11,11,2014,stratified,bottom
dz_2014_strat_15,15,2014,stratified,bottom
dz_2014_strat_17,17,2014,stratified,bottom
dz_2014_unstrat_0,0,2014,unstratified,surface
dz_2014_unstrat_1,1,2014,unstratified,surface
dz_2014_unstrat_2.5,2.5,2014,unstratified,surface
dz_2014_unstrat_5,5,2014,unstratified,surface
dz_2014_unstrat_11,11,2014,unstratified,bottom
dz_2014_unstrat_15,15,2014,unstratified,bottom
dz_2014_unstrat_17,17,2014,unstratified,bottom
dz_2015_strat_0,0,2015,stratified,surface
dz_2015_strat_1,1,2015,stratified,surface
dz_2015_strat_2.5,2.5,2015,stratified,bottom
dz_2015_strat_5,5,2015,stratified,bottom
dz_2015_strat_11,11,2015,stratified,bottom
dz_2015_strat_15,15,2015,stratified,bottom
dz_2015_strat_17,17,2015,stratified,bottom
dz_2015_unstrat_0.25,0.25,2015,unstratified,surface
dz_2015_unstrat_1,1,2015,unstratified,surface
dz_2015_unstrat_2.5,2.5,2015,unstratified,surface
dz_2015_unstrat_5,5,2015,unstratified,bottom
dz_2015_unstrat_11,11,2015,unstratified,bottom
dz_2015_unstrat_15,15,2015,unstratified,bottom
dz_2015_unstrat_17,17,2015,unstratified,bottom
